X,Y
-2.58550768784,42.8009275639
-2.57327875799,42.8008824106
-2.54882102684,42.800788227300004
-2.53659220607,42.8007391768
-2.69561370636,42.7922698268
-2.61002245113,42.7920087901
-2.59779523613,42.79196626
-2.585568048,42.7919224244
-2.57334088788,42.7918772837
-2.56111377771,42.7918308592
-2.54888669687,42.7917831293
-2.53665964615,42.791734094
-2.69565810335,42.7832645658
-2.63453022035,42.7830847282
-2.61007924555,42.7830036121
-2.59785379959,42.7829610939
-2.57340298926,42.7828721424
-2.54895233678,42.782778017
-2.5367270553,42.7827289968
-2.64680720621,42.7741180763
-2.62235970737,42.774039604
-2.61013600321,42.7739984025
-2.59791232508,42.7739558963
-2.56124147701,42.7738205743
-2.52457093624,42.7736735591
-2.63463661436,42.7650742064
-2.57352705627,42.7648617465
-2.56130524892,42.7648153661
-2.54908347085,42.7647676815
-2.52464000569,42.7646683996
-2.58580912523,42.7559015959
-2.57358903398,42.7558565087
-2.54914897858,42.7557624747
-2.53692899559,42.7557135022
-2.52470904346,42.7556632258
-2.5369962375,42.7467082973
-2.54927990393,42.7377520182
-2.52491596689,42.728647618
-2.5250537235,42.7106370856
-2.53733191932,42.7016819456
-2.53739894608,42.6926766026
-2.54967183027,42.6837200708
-2.57414538504,42.6748083891
-2.56194119627,42.6747621835
-2.54973703688,42.6747146785
-2.3406478984,42.8267917163
-2.32841431675,42.8267204468
-2.30394728901,42.8265739871
-2.29171384577,42.8264987975
-2.26724710722,42.8263445005
-2.25501381103,42.8262653917
-2.36520755576,42.8179255456
-2.35297567567,42.8178569112
-2.3407438263300002,42.8177869692
-2.32851201904,42.8177157206
-2.30404853995,42.8175693039
-2.27958525232,42.8174176658
-2.26735368171,42.8173398882
-2.49983316572,42.8095892592
-2.48760271402,42.8095350012
-2.43868123351,42.8093049623
-2.41422070229,42.8091821354
-2.38976023638,42.8090540581
-2.37753004442,42.8089880546
-2.36529989405,42.808920745
-2.35306978607,42.8088521293
-2.34083971019,42.8087822077
-2.30414974439,42.8085646063
-2.29191984906,42.8084894619
-2.51213466444,42.8006371744
-2.49990595204,42.8005842398
-2.48767727306,42.8005299995
-2.45099143598,42.8003594702
-2.42653438037,42.8002392943
-2.38984898963,42.8000492071
-2.36539218996,42.7999159301
-2.35316385327,42.799847333
-2.34093555002,42.7997774317
-2.32870728902,42.7997062249
-2.31647907286,42.7996337124
-2.27979470773,42.799408349
-2.51220564541,42.7916321232
-2.48775179787,42.7915249834
-2.46329808722,42.7914126221
-2.42661777368,42.7912343723
-2.40216439297,42.7911090041
-2.31657841248,42.7906289642
-2.29212566314,42.7904800684
-2.27989936329,42.7904036689
-2.51227659379,42.7826270577
-2.48782628846,42.782519953
-2.41447620703,42.7821674291
-2.31667770649,42.7816242016
-2.50012409254,42.7735690782
-2.48790072515,42.7735148906
-2.47567739189,42.7734593984
-2.40233812178,42.7730991726
-2.37789186267,42.7729686166
-2.3534457699,42.7728328428
-2.34122278144,42.7727630035
-2.51241832828,42.7646168183
-2.50019669309,42.7645639519
-2.4879750912,42.7645097814
-2.96444655956,43.0808362916
-2.39020347994,42.7640295866
-2.28021299378,42.7633895166
-2.51248913083,42.7556116609
-2.48804942314,42.7555046577
-2.47582962003,42.7554492005
-2.40251154762,42.7550891919
-2.39029194728,42.7550246118
-2.30475589746,42.7545360651
-2.29253663717,42.7544610622
-2.2803174247,42.7543847616
-2.26809826025,42.7543071574
-2.51255990091,42.7466064892
-2.50034179431,42.7465536561
-2.3903803739,42.7460196226
-2.31707427086,42.7456049213
-2.30485673691,42.745531245
-2.29263924908,42.7454562674
-2.28042180761,42.745379992
-2.51263063853,42.7376013031
-2.50041429502,42.7375484867
-2.48819798475,42.7374943673
-2.4026848138,42.7370791534
-2.37825274651,42.7369487818
-2.3538208452,42.736813199
-2.41498568657,42.7281373148
-2.40277138707,42.7280741124
-2.37834286367,42.727943787
-2.35391450616,42.7278082519
-2.32948630305,42.7276675111
-2.5127720116,42.7195908803
-2.48834640489,42.7194840123
-2.46392093423,42.7193719358
-2.45170825691,42.7193139617
-2.3906454043,42.7190045635
-2.37843293411,42.718938773
-2.35400811892,42.718803286000004
-2.51284262306,42.7105856071
-2.48842053752,42.7104787776
-2.43957679568,42.7102495331
-2.40294438515,42.7100639605
-3.05043333166,43.0718267265
-2.50070390255,42.7015275746
-2.46407620606,42.7013615325
-2.45186705279,42.7013035976
-2.41523981899,42.7011219925
-2.37861291769,42.7009286727
-2.36640403058,42.7008616301
-2.48856870079,42.6924682651
-2.45194639607,42.692298394
-2.43973904177,42.6922391802
-2.42753172468,42.6921786656
-2.41532444563,42.6921168501
-2.39091000624,42.6919893178
-2.37870284733,42.6919236009
-2.50084848077,42.6835169943
-2.48864273147,42.6834629872
-2.4764370161099998,42.6834076796
-2.43982010896,42.6832339821
-2.42761455219,42.6831734879
-2.41540903342,42.6831116932
-2.51312474524,42.6745643701
-2.50092072017,42.6745116826
-2.47651277017,42.6744024072
-2.43990113894,42.6742287697
-2.64747326629,42.6570472004
-2.74511752857,42.6483014905
-2.69632077061,42.6481819563
-2.58652921617,42.6478368089
-2.78174696256,42.6393717384
-2.75735195793,42.6393223808
-2.65977264123,42.6390729452
-2.6231807314,42.6389579544
-2.6109834712,42.6389170253
-2.59878623684,42.6388747976
-2.58658902914,42.6388312715
-2.5743918489,42.6387864469
-3.0872698761,43.0628000623
-2.74519141331,42.6302900031
-2.68421306984,42.6301373871
-2.67201745942,42.6301029725
-2.6354307622,42.6299919401
-2.62323524005,42.6299523325
-2.75742230048,42.6213108608
-2.68425875873,42.6211316474
-2.67206490735,42.6210972525
-2.65987107777,42.62106156
-2.64767727078,42.6210245697
-2.63548348719,42.6209862818
-2.62328972368,42.6209466961
-2.55012764991,42.6206819263
-2.53793406403,42.6206332544
-2.70868869037,42.6121908113
-2.69649654833,42.6121590006
-2.68430442663,42.612125893299996
-2.62334418231,42.6119410453
-2.61115219658,42.611900185
-2.56238450858,42.611723766
-2.52580901597,42.6115778179
-2.70873083677,42.6031850553
-2.69654044875,42.6031532504
-2.68435008115,42.6031201495
-2.64777914512,42.6030131938
-2.63558887882,42.6029749481
-2.58682802755,42.6028090007
-2.57463787988,42.6027642718
-2.6722071417,42.594080064
-2.41557809307,42.6651013361
-2.33026223091,42.6556277039
-2.31806235048,42.6555555876
-2.29366272154,42.6554074567
-2.36695363088,42.6468311385
-2.34255719696,42.6466934577
-2.3670450952,42.6378260082
-2.35484862792,42.6377578452
-2.47689105263,42.6293757957
