X,Y
-2.79400430447,42.621382942
-2.79403419264,42.612377157
-2.62345306083,42.5939297595
-3.16051689474,42.8916254681
-3.11148019407,42.8646675825
-3.06248594761,42.8376883392
-2.57228043496,42.9449623321
-2.37634896766,42.9260495435
-2.9890681533,42.8286986783
-2.97683334279,42.8286967161
-3.12363343917,42.8196284459
-2.9279156103,42.810665017
-2.94018248565,42.7746504296
-3.11130488999,42.7656082057
-3.08686010165,42.765629137
-2.94019139103,42.7656449158
-2.90352437795,42.7656195056
-2.90353859284,42.7566139861
-2.70779846484,42.8013070933
-2.62219464158,42.8010551899
-6.22977413786,40.4625594181
-6.37431345553,40.3848678236
-6.35077567178,40.3843307422
-6.33900700859,40.3840604009
-6.32723850526,40.3837888634
-6.3154701625,40.3835161296
-6.29193396415,40.382967071
-6.26839842985,40.3824132156
-5.73448665632,40.0941726215
-5.61695547219,40.087881469
-6.24486355191,40.381854576
-5.62832691648,40.0786159048
-5.73340595326,40.0671747501
-6.22132936218,40.3812911366
-5.62763465264,40.0606157186
-5.61592147521,40.0608809571
-5.61557711988,40.051880736
-5.66207235479,40.0418131207
-5.63865294977,40.0423491449
-5.66172214992,40.032813167
-5.62590671957,40.0156146975
-5.61420124678,40.0158795024
-5.60249561919,40.0161431267
-5.63726538189,40.006348538
-5.62556159968,40.0066144345
-5.61385766565,40.0068791522
-6.43350230087,40.3771896297
-6.42173415311,40.3769277616
-5.46558529469,40.1182290954
-5.47665640391,40.0999765018
-5.46493511378,40.1002267251
-5.42977044945,40.100970128
-5.51148832538,40.0902178105
-5.48804957137,40.090723999
-5.44117034373,40.0917220599
-5.49943965127,40.0814704739
-5.48772174345,40.0817228868
-5.476003688,40.0819741162
-5.40569240542,40.0834563144
-5.47567755046,40.0729728981
-5.46363644236,40.0642215317
-5.42849026447,40.064963845
-6.38643057198,40.376134961
-6.37466300781,40.3758682973
-6.82258016169,39.9978196775
-6.36289560138,40.3756004375
-6.83485530046,39.9800325299
-6.35112835315,40.3753313816
-6.8231521677,39.9798132778
-6.81144916376,39.9795928452
-6.80003517245,39.9703681471
-6.33936125338,40.3750611234
-6.80032392542,39.9613650466
-6.77692472598,39.9609186078
-6.3275943134,40.3747896693
-6.31582753391,40.3745170192
-6.30406091561,40.3742431734
-6.29229446162,40.3739681295
-6.28052817585,40.3736918844
-6.28904414866,40.4549580748
-6.25699609494,40.3731358073
-6.2452303012,40.3728559752
-6.30160773521,39.8427267367
-6.33698214926,39.83453649
-6.19816884988,40.3717246549
-5.86867138968,39.9377936701
-6.27726377513,40.4546810667
-6.43384387337,40.3681896788
-6.08995860191,39.8736379857
-6.07828034614,39.8733441016
-6.03156909871,39.8721567579
-6.10201614296,39.8649322618
-6.05530960829,39.8637547168
-6.18412744062,39.857948567
-6.14909827157,39.8570921569
-6.13742221657,39.8568043395
-6.12574633258,39.8565153441
-6.09071971814,39.8556412841
-6.07904452203,39.8553475839
-6.05569467055,39.8547566351
-6.37501240233,40.3668687545
-6.02067120792,39.8538613998
-6.18449552718,39.8489494657
-6.1377964046,39.8478055983
-6.1144478671,39.8472266052
-6.36324655964,40.3666009773
-6.091100019,39.8466429077
-6.07942635169,39.8463492994
-6.06775286482,39.846054509
-6.35148087529,40.3663320045
-6.18486344829,39.8399503472
-6.17318994203,39.83966623
-6.12649759111,39.8385180274
-6.10315245896,39.8379368581
-6.07980800927,39.837350998
-6.06813605055,39.8370563004
-5.64862097556,39.9970813469
-6.33971533836,40.3660618293
-5.63691888361,39.9973483378
-5.62521663789,39.9976141491
-5.67167375971,39.9875438356
-5.65997351657,39.9878130985
-5.64827311624,39.9880811818
-6.32794996102,40.3657904586
-5.81132634818,39.9662228851
-5.7996310957,39.9665060923
-5.75284836317,39.9676271912
-6.26548356554,40.4544028595
-6.31618474409,40.3655178923
-6.30441968827,40.3652441305
-6.29265479645,40.3649691713
-6.24559688505,40.3638573578
-6.23383282886,40.3635764105
-6.19854168477,40.3627263832
-6.25370352061,40.4541234533
-6.49301249438,40.3604802551
-6.48124678551,40.3602245476
-6.46948122773,40.3599676444
-6.45771579194,40.3597095372
-6.43418529168,40.3591897115
-6.41065540773,40.3586651037
-6.3988906705,40.3584009987
-6.24192364103,40.453842848
-6.37536163917,40.3578691953
-6.43071614099,39.8276434961
-6.36067561501,39.8260700391
-6.34900272463,39.8258036974
-6.35183323812,40.3573326107
-6.40770725315,39.818122907
-6.37269176612,39.8173346657
-6.41971626051,39.8093824159
-6.40804565211,39.8091220976
-6.38470487899,39.808597939
-6.37303472184,39.808334101
-6.34006926359,40.3570625187
-6.40838389913,39.8001212717
-6.29301496873,40.3559701965
-6.28125180702,40.3556941207
-6.24596330354,40.3548587237
-6.23420080868,40.3545778626
-6.22243848931,40.3542958014
-6.50511024713,40.3517343067
-6.4933459482,40.3514798731
-6.48158179958,40.3512242441
-6.46981780195,40.3509674199
-6.39923662483,40.3494012591
-5.65060061449,39.7448040262
-5.77848136183,39.7328040275
-6.38747359322,40.3491360368
-5.65025567909,39.7358034721
-5.62693996194,39.7363336924
-5.63825462586,39.7270685096
-6.3757107184,40.3488696196
-5.74279892919,39.7156362616
-5.63791150815,39.7180678446
-5.62625660067,39.7183322043
-6.36394800107,40.3486020074
-5.73079031381,39.706911114
-6.35218544194,40.3483332004
-5.7187847279,39.6981846084
-5.63722572273,39.7000664941
-5.61392182125,39.7005937294
-6.34042302916,40.3480631916
-6.328660775,40.3477919875
-5.65949246632,39.6725329762
-6.22903404027,40.4805561335
-6.2183643996,40.4532780221
-6.29337497853,40.3469712051
-6.26985194012,40.3464180281
-6.24632955675,40.3458600729
-6.51720487985,40.3429869906
-6.50544199101,40.3427338302
-7.21990052056,39.5811739383
-6.4819166626,40.3422239244
-6.47015422444,40.341967179
-7.22013109767,39.5721679457
-7.19709055238,39.5628029636
-7.19732392102,39.5537970517
-6.43486766602,40.3411897276
-6.42310577224,40.3409281833
-7.18545519946,39.5626217301
-7.1738199564,39.5624393408
-7.16242268394,39.5532500446
-6.35253748682,40.3393337735
-6.32474336192,40.4467828069
-6.31725540808,40.3385204119
-6.24669564476,40.3368614054
-6.18302679909,40.4524217884
-6.18340270042,40.443423741
-6.17162541493,40.4431360112
-6.15984829998,40.4428470833
-6.18377844159,40.4344256853
-6.16022717647,40.433849204
-5.64750169805,39.6637985832
-6.14845179999,40.4335591665
-6.13667659517,40.4332679312
-6.12490156486,40.4329754942
-6.18415401338,40.4254276131
-6.26584849604,40.4454042007
-6.1723798626,40.4251400592
-6.16060588198,40.4248513079
-6.14883207222,40.424561359
-5.39064210359,39.6513553063
-5.37868761061,39.6425919995
-5.33210881095,39.6435369334
-6.17275683109,40.416142058
-5.33180632619,39.6345340754
-5.34314588636,39.6252968723
-5.33150397704,39.6255312012
-5.34284216893,39.6162940583
-6.14921217285,40.4155635346
-5.34253857947,39.6072912295
-6.13744010061,40.4152724772
-5.29538736247,39.5902146474
-5.28375088071,39.5904440262
-6.18490464874,40.4074314179
-5.42306537928,39.5786124039
-5.30672496667,39.5809810145
-5.46895863265,39.5596282944
-6.17313362947,40.4071440399
-5.39917743842,39.5610904201
-6.25407001801,40.4451248802
-6.16136278037,40.406855465
-5.35204536928,39.544036192
-5.34041710382,39.5442709995
-5.22412685518,39.5465552133
-5.20086717131,39.5469981231
-5.18923713746,39.5472178343
-5.36336795042,39.5347974213
-5.35174133581,39.5350333137
-5.24709546523,39.5371040921
-6.10251112061,40.4053946125
-5.20058263297,39.537994262
-5.37468753829,39.5255576294
-5.3630625568,39.5257946049
-5.35143743851,39.5260304192
-5.32818676,39.5264985628
-5.23517854715,39.5283247201
-5.2235519009,39.52854777
-5.21192512572,39.5287696583
-6.18527971264,40.3984332948
-5.20029822227,39.5289903849
-5.18867119122,39.5292099497
-5.38600413437,39.5163168175
-5.37438078586,39.5165548753
-5.21163934226,39.5197658388
-5.20001393914,39.5199864919
-6.17351025783,40.3981460051
-5.37407417081,39.507552105
-5.35083005147,39.5080245818
-6.11466555469,40.3966915925
-5.14160832948,39.5120680721
-7.30684486611,39.3572301348
-7.30727973997,39.3392165262
-7.29568079098,39.3390471442
-6.24229170525,40.4448443611
-6.12681686147,40.3879871805
-6.11504983172,40.3876939852
-6.10328297566,40.3873995941
-6.87655344205,39.3862074488
-6.23051356765,40.4445626355
-6.09190353367,40.3781065632
-6.17463914354,40.3711518091
-6.16287455038,40.3708635858
-6.1511101276,40.3705741673
-6.78344244358,39.3934793847
-6.13934587591,40.3702835536
-6.12758179624,40.3699917427
-6.11581789053,40.3696987244
-6.10405415792,40.3694045109
-6.2187355987,40.4442797098
-6.17501510345,40.3621537122
-6.14959210196,40.4065656933
-6.11428110424,40.4056891829
-6.11620166019,40.3607010687
-6.1871525343,40.3534424493
-6.11658525681,40.3517033962
-5.57991877859,39.4130772202
-6.20695779721,40.4439955856
-6.10482464484,40.3514093603
-5.60212316986,39.3855561321
-5.61338683376,39.3762947603
-6.0813039425,40.3508177056
-6.11696868046,40.3427057068
-6.10520962776,40.3424117597
-5.36214719632,39.4987860588
-5.33890577785,39.4992560589
-5.32728485847,39.4994893188
-6.0934507486,40.3421166185
-5.35022320365,39.4900186753
-5.32698449094,39.4904861989
-5.36153762781,39.4807802725
-6.08169204369,40.3418202835
-5.33830218704,39.4812499585
-6.06993351316,40.3415227491
-5.34931394364,39.4630096869
-6.05817515699,40.3412240084
-5.42936149378,39.4253284886
-5.31327657885,39.4276953681
-5.41744241727,39.4165677637
-5.40583589698,39.4168084277
-5.3594084423,39.4177594876
-6.19518016387,40.443710263
-6.03465897418,40.3406229458
-5.41713135009,39.4075651218
-5.4055263182,39.4078057064
-6.11735193124,40.3337080006
-5.39361319791,39.3990423089
-5.37040542447,39.3995175215
-5.35880133252,39.3997533938
-5.35849798153,39.3907503227
-5.35819477442,39.3817472286
-5.34659351749,39.3819817878
-5.31178892442,39.3826785264
-5.30018712626,39.3829084618
-5.28858519006,39.3831372432
-5.23057352289,39.3842638274
-5.32309198086,39.3734440896
-5.3114918023,39.3736751035
-5.29989149068,39.3739049623
-5.31119481321,39.3646716645
-5.29959598747,39.3649014468
-5.21840048519,39.3664776162
-5.34568917847,39.3549721658
-5.29930061656,39.3558979153
-5.28770313979,39.3561264679
-5.33379254661,39.3462020175
-5.2990053779,39.3468943676
-5.28740938638,39.3471228441
-5.33349298867,39.3371986843
-5.09456797127,39.4949063741
-5.09429768334,39.4859017511
-5.07105624084,39.4863180932
-5.05943534231,39.4865245071
-5.10564655823,39.4766872689
-6.93202052289,40.2520613272
-5.07078907126,39.4773133159
-5.14022691199,39.4670464033
-6.92026975072,40.2518505781
-5.12806102833,39.4492507249
-5.11644672228,39.4494626758
-5.02300662405,39.4331063568
-6.90851910301,40.2516386369
-5.02274614321,39.4241012501
-5.02222553183,39.4060909906
-6.27799033996,40.4366835715
-6.89676860747,40.2514255312
-5.0451778911,39.3966800784
-5.03357170479,39.3968835366
-5.02170538712,39.3880806697
-5.01010044946,39.3882817742
-7.29589955766,39.3300403704
-7.284302167,39.3298698668
-6.93229456561,40.243057977
-7.26110768233,39.329525395
-7.26133078663,39.3205187711
-7.2731480136,39.3116848331
-7.24995966812,39.3113382772
-7.2617766951,39.302505478
-7.25018405625,39.3023316796
-6.92054535173,40.2428472983
-7.25040834375,39.2933250669
-7.23904295805,39.2841435997
-7.22745348585,39.2839676001
-7.2160926465,39.2747839764
-7.20450486154,39.2746057294
-6.90879626224,40.2426354279
-6.73964078743,39.3115515735
-6.89704732452,40.2424223928
-6.9325684846,40.234054611
-6.9208208283,40.2338440026
-6.90935020536,40.2246289623
-6.5470225202,39.181519941
-6.8976043811,40.2244160683
-6.94486062877,40.2162571037
-6.93311596269,40.2160478263
-6.92137142013,40.2158373583
-6.40623726023,39.2325229462
-6.90962700182,40.2156256997
-6.47665448418,39.2070435712
-6.94513264108,40.2072536113
-6.4769768084,39.1980413363
-6.93338953091,40.2070444035
-6.25443635369,40.4361263007
-6.92164654422,40.2068340055
-6.94540453058,40.1982501032
-6.93366297563,40.1980409649
-6.91018023667,40.1976191191
-5.35637840961,39.3277283036
-5.34478605777,39.3279623974
-5.28682227746,39.3291155478
-5.35607616465,39.3187250901
-5.35577405495,39.3097218606
-6.55476895952,40.2807333868
-6.54764850322,39.1635144904
-6.24702347842,39.1567936569
-6.57859546232,40.2722268033
-6.55509335216,40.2717324887
-6.54334251358,40.2714835413
-6.63766662839,40.2644402544
-6.25297002954,40.4721205492
-5.30166733619,39.4279256893
-6.53191919086,40.2622326427
-6.63797987645,40.2554387913
-6.54399399926,40.2534818534
-6.19555433757,40.434712119
-6.6852832214,40.2473869014
-6.67353545025,40.24715129
-6.6617878214,40.2469144886
-6.6500403322,40.246676496
-6.59130510476,40.245468691
-6.68558997783,40.2383851027
-6.68589659584,40.2293832879
-6.66209768191,40.2379128406
-6.65035174541,40.2376749241
-6.77985949704,40.2312243998
-6.65066301831,40.228673336
-6.29012905054,40.4279615606
-6.79189797449,40.2224466864
-6.69794638261,40.2206156718
-6.65097415282,40.2196717297
-6.27835337804,40.4276848074
-6.68650942848,40.2113795924
-6.65128515776,40.210670095
-6.62780301883,40.2101911507
-6.61606218736,40.2099498961
-6.5808405488,40.2092189948
-6.22940417258,40.4715577842
-6.71029618035,40.2028446488
-6.69855584277,40.2026117756
-6.67507562397,40.2021424771
-6.6633357536,40.2019060553
-6.65159602256,40.2016684442
-6.63985643157,40.2014296438
-6.60463856267,40.2007061088
-6.71059915225,40.1938426001
-6.24302734596,40.4268473602
-6.69886036675,40.1936098032
-6.67538324896,40.1931406571
-6.64016870608,40.1924280538
-6.62843080717,40.1921881415
-6.23125234234,40.4265658081
-6.71090198753,40.1848405352
-6.65221733205,40.183665094
-6.69946900286,40.1756058101
-6.67599808322,40.1751369687
-6.6407928331,40.1744248253
-6.43520862221,40.3321897111
-6.31761197831,40.3295212191
-6.27057771716,40.3284203353
-6.25881956297,40.3281421258
-6.24706157304,40.3278627225
-6.33758843765,40.4200573689
-6.48258596712,40.3242232461
-6.45906745842,40.3237088701
-6.44730837926,40.3234498747
-6.42379068044,40.3229283015
-6.41203206218,40.3226657239
-6.38851522609,40.3221369678
-6.35324112006,40.3213348719
-6.30621114341,40.3202486693
-6.29445405133,40.3199741334
-6.23567108584,40.3185835089
-6.2239150113,40.3183017924
-6.5064363936,40.3157323277
-6.4946783284,40.3154782053
-6.48292041316,40.315222889
-6.45940501964,40.3147086699
-6.31403907311,40.419512429
-6.43589013039,40.3141896429
-6.42413291575,40.3139283389
-6.41237585537,40.3136658412
-6.36534902498,40.3126038737
-6.35359270534,40.3123353969
-6.34183653168,40.3120657207
-6.24779294658,40.3098653096
-6.49501106787,40.3064777544
-6.21762149858,40.4712745962
-6.45974242867,40.3057084533
-6.44798646503,40.3054496155
-6.40096412466,40.3044023255
-6.38920889135,40.3041375101
-6.36569889437,40.3036043
-6.34218951603,40.3030663122
-6.27166518468,40.3014236764
-6.5070986114,40.2977312554
-6.49534365743,40.2974772873
-6.4718341996,40.2969657717
-6.43657102443,40.2961895095
-6.4248169236,40.2959283645
-6.41306297688,40.2956660267
-6.40130916583,40.2954024909
-6.37780196926,40.2948718295
-6.36604860603,40.2946047098
-6.35429540042,40.2943363974
-6.34254234125,40.2940668873
-6.50742949656,40.288730695
-6.48392284748,40.2882217203
-6.47216974823,40.2879654438
-6.25516853118,40.418129097
-6.46041679047,40.2877079714
-6.44866393956,40.2874492912
-6.43691124126,40.2871894183
-6.42515869629,40.2869283529
-6.41340630534,40.286666095
-6.38990193123,40.286137986599996
-6.36639816001,40.2856051031
-6.34289500742,40.2850674458
-6.24339491791,40.4178488358
-6.51951222165,40.2799827373
-6.49600838712,40.2794763046
-6.4607537434,40.2787077061
-6.43725130474,40.2781893108
-6.23162148013,40.4175673703
-6.39024821686,40.2771382003
-6.37849780825,40.2768724361
-6.36674755641,40.27660548
-6.35499746272,40.2763373319
-6.5080908438,40.2707295282
-6.49634055215,40.2704757909
-6.48459041004,40.2702208616
-6.2198482124,40.4172847047
-6.43759124157,40.2691891857
-6.42584180608,40.2689282783
-6.39059437272,40.2681383931
-6.36709682184,40.267605835
-6.20807511192,40.4170008418
-6.4849239892,40.2612204093
-6.47317554919,40.2609643649
-6.43793103111,40.2601890439
-6.42618314811,40.2599282151
-6.39094037437,40.2591385692
-6.1963021794,40.4167157816
-6.2734744185,40.2564289053
-6.47351052929,40.2519639733
-6.45001715176,40.2514484453
-6.40303212381,40.2504030593
-6.36149018885,40.4115981307
-6.39128622012,40.2501387289
-6.37954047223,40.2498732077
-6.48559069699,40.2432194563
-6.47384535856,40.2429635656
-6.46210016926,40.2427064835
-6.4503550841,40.2424481931
-6.39163191004,40.2411388723
-6.37988771405,40.240873432
-6.36814367447,40.2406068013
-6.34465605919,40.2400699673
-6.33794332028,40.4110581511
-6.39197744421,40.2321389992
-6.38023479941,40.2318736399
-6.50974173276,40.2257263419
-6.39232282272,40.2231391098
-6.29839842299,40.2209835716
-6.32617012341,40.4107863634
-6.36918913508,40.2136076072
-6.38127516448,40.2048741374
-6.39335809461,40.1961392996
-6.31439708735,40.4105133783
-6.36988536327,40.1956080402
-6.35849865974,40.1863409014
-6.30262421279,40.4102391958
-6.34676423292,40.1860723846
-6.33502996145,40.1858026827
-6.35884792964,40.1773411587
-6.39439197378,40.1691393381
-6.26730658538,40.4094094483
-6.09383711643,40.3331190901
-6.08207996991,40.3328228446
-6.07032299746,40.3325254005
-6.046809576,40.3319269055
-6.03505313044,40.3316258682
-6.02329686236,40.3313236377
-6.11773502482,40.324710283
-6.10597908854,40.3244165138
-6.08246773663,40.323825396
-6.07071232128,40.3235280428
-6.04720201027,40.3229297294
-6.11811794907,40.3157125497
-6.10636356921,40.3154188696
-6.09460936258,40.3151239966
-6.08285532989,40.314827931
-6.05934778118,40.3142321988
-6.11850070075,40.3067147996
-6.19667584723,40.4077175877
-6.0714904444,40.3055332775
-6.05973830866,40.3052348979
-5.98960436619,40.2950326648
-6.09538091481,40.2971288363
-6.08362999251,40.2968329502
-5.98920754786,40.286035696
-6.11926568678,40.2887192487
-6.0957664302,40.2881312308
-6.08401706206,40.2878354344
-6.07226786694,40.2875384443
-6.01352447701,40.2860355307
-6.06090883636,40.2782428936
-5.87095460154,40.271017637999996
-6.07304460744,40.2695435545
-6.33829804277,40.4020589167
-6.07343272946,40.2605460929
-6.14503792771,40.2353143839
-6.26767069687,40.4004107193
-6.24412956439,40.399851737
-6.23235925605,40.3995704443
-6.22058911888,40.3992879518
-5.81259127469,40.2814593202
-6.42104741963,40.3949274598
-6.40927629353,40.3946642314
-6.39750529305,40.3943997984
-6.37396374726,40.3938673381
-6.35042283242,40.3933300902
-6.85516056818,40.0795039002
-6.86716208471,40.0707171285
-6.85544313598,40.0705006943
-6.85572557636,40.0614974724
-6.86772375297,40.0527105238
-6.85600789223,40.0524942296
-6.86800440973,40.0437071758
-6.87999784215,40.0349187844
-6.69977311512,40.1666037892
-6.64110468575,40.1654231866
-6.27980389316,40.3916895847
-6.24155541072,40.4628413182
-6.2680346441,40.3914119737
-6.25626555918,40.3911331663
-6.79510679456,40.1234177317
-6.2444966391,40.3908531625
-6.81884985377,40.1148591689
-6.80712372303,40.114637672
-6.8425871204,40.1062955468
-6.83086227799,40.1060764933
-6.81913756457,40.105856254
-6.80741298085,40.105634829
-6.23272789436,40.3905719562
-6.83114831975,40.0970734762
-6.81942515219,40.0968533086
-6.2209593214,40.3902895502
-6.20919091544,40.390005948
-6.19742267718,40.3897211495
-6.40962130308,40.3856644695
-6.39785187001,40.385400119
-5.51687533633,36.2606349875
-5.63497235286,36.1319102792
-5.6238700853,36.132154122
-5.3765394364,36.7682266444
-5.62421302873,36.4746282031
-5.55058835922,36.6114120411
-5.5614616454,36.6021664301
-5.57233233284,36.5929199132
-5.57203346437,36.5839139913
-5.37667845105,36.7727302011
-5.53823695511,36.5756260881
-5.56027163127,36.566142416700004
-5.54910700422,36.5663816881
-5.53794224554,36.5666199152
-5.51357112856,36.5040489565
-5.32300887339,36.8503981668
-5.98180024155,36.1958694282
-0.57151522646,40.1370052636
-0.571835899765,40.1280038729
-0.583881469585,40.1192478301
-0.525584304604,40.1090079525
-0.58483761111,40.0922432704
