"","x","y"
"1763",-5.14199,42.81768
"1774",1.13562,42.12914
"1777",-0.60986,42.65965
"1784",2.26976,42.40314
"1789",-5.9217,43.26866
"1792",-3.24358,42.20704
"1793",-2.10351,43.14936
"1807",-4.91695,43.0558
"1820",1.70318,42.18198
"1822",-2.88061,41.97306
"1824",2.1012,42.29387
"1825",-0.9614,42.72948
"1834",2.12769,42.13196
"1837",-4.40508,43.22532
"1849",0.70135,42.42744
"1852",-2.23956,43.08731
"1853",0.64974,42.50744
"1863",1.94367,42.28352
"1866",-3.25974,43.18861
"1885",-2.26564,42.96141
"1893",-1.05427,42.88418
"1897",-2.21314,42.26763
"1907",-1.86957,41.81444
"1911",-2.66991,43.02633
"1915",-2.41532,42.69212
"1920",-0.1845,42.62296
"1923",-2.48085,42.15208
"1934",-6.59608,43.33467
"1963",0.27443,40.75196
"1967",-0.25957,42.3006
"1991",-3.67844,43.21391
"1999",-2.85571,42.30627
